Date,MSFT,FB,AAPL
5/24/2021,249.679993,328.730011,124.610001
5/31/2021,250.789993,330.350006,125.889999
6/7/2021,257.890015,331.26001,127.349998
6/14/2021,259.429993,329.660004,130.460007
6/21/2021,265.019989,341.369995,133.110001
6/28/2021,277.649994,354.700012,139.960007
7/5/2021,277.940002,350.420013,145.110001
7/12/2021,280.75,341.160004,146.389999
7/19/2021,289.670013,369.790009,148.559998
7/26/2021,284.910004,356.299988,145.860001
8/2/2021,289.459991,363.51001,146.139999
8/9/2021,292.850006,363.179993,149.100006
8/16/2021,304.359985,359.369995,148.190002
8/23/2021,299.720001,372.630005,148.600006
8/30/2021,301.140015,376.26001,154.300003
9/6/2021,295.709991,378.690002,148.970001
9/13/2021,299.869995,364.720001,146.059998
9/20/2021,299.350006,352.959991,146.919998
9/27/2021,289.100006,343.01001,142.649994
10/4/2021,294.850006,330.049988,142.899994
10/11/2021,304.209991,324.76001,144.839996
10/18/2021,309.160004,324.609985,148.690002
10/25/2021,331.619995,323.570007,149.800003
11/1/2021,336.059998,341.130005,151.279999
11/8/2021,336.720001,340.890015,149.990005
11/15/2021,343.109985,345.299988,160.550003
11/22/2021,329.679993,333.119995,156.809998
11/29/2021,323.01001,306.839996,161.839996
12/6/2021,342.540009,329.75,179.449997
12/13/2021,323.799988,333.790009,171.139999
12/20/2021,334.690002,335.23999,176.279999
12/27/2021,336.320007,336.350006,177.570007
1/3/2022,314.040009,331.790009,172.169998
1/10/2022,310.200012,331.899994,173.070007
1/17/2022,296.029999,303.170013,162.410004
1/24/2022,308.26001,301.709991,170.330002
1/31/2022,305.940002,237.089996,172.389999
2/7/2022,295.040009,219.550003,168.639999
2/14/2022,287.929993,206.160004,167.300003
2/21/2022,297.309998,210.479996,164.850006
2/28/2022,289.859985,200.059998,163.169998
3/7/2022,280.070007,187.610001,154.729996
3/14/2022,300.429993,216.490005,163.979996
3/21/2022,303.679993,221.820007,174.720001
3/28/2022,309.420013,224.850006,174.309998
4/4/2022,296.970001,222.330002,170.089996
4/11/2022,279.829987,210.179993,165.289993
4/18/2022,274.029999,184.110001,161.789993
4/25/2022,277.519989,200.470001,157.649994
5/2/2022,274.730011,203.770004,157.279999
5/9/2022,261.119995,198.619995,147.110001
5/16/2022,252.559998,193.539993,137.589996
